Address,City,Email,Name,Phone,State,Zip,MD_Prefix1,MD_FirstName1,MD_MiddleName1,MD_LastName1,MD_Suffix1,MD_Gender1,MD_Prefix2,MD_FirstName2,MD_MiddleName2,MD_LastName2,MD_Suffix2,MD_Gender2,MD_Salutation,MD_Address,MD_Address2,MD_Suite,MD_Urbanization,MD_City,MD_State,MD_Zip,MD_Plus4,MD_DPAndCheckDigit,MD_PrivateMailbox,MD_Country,MD_CMRA,MD_ElotNumber,MD_ElotOrder,MD_DeliveryIndication,MD_AddressType,MD_AddressTypeDesc,MD_ZipType,MD_CRRT,MD_CityAbbrev,MD_District,MD_AddrRange,MD_AddrPreDir,MD_AddrName,MD_AddrSuffix,MD_AddrPostDir,MD_AddrSuiteName,MD_AddrSuiteRange,MD_AddrPMBName,MD_AddrPMBRange,MD_AddrRouteService,MD_AddrLockBox,MD_AddrDeliveryInstallation,MD_AddrExtraInformation,MD_AddrCountyName,MD_AddrCountyFips,MD_AddrTimezone,MD_AddrTimezoneCode,MD_AddressKey,MD_GeoCounty,MD_GeoCountyFIPS,MD_PlaceCode,MD_PlaceName,MD_TimeZone,MD_TZCode,MD_Latitude,MD_Longitude,MD_CBSACode,MD_CBSALevel,MD_CBSATitle,MD_CBSADivisionCode,MD_CBSADivisionLevel,MD_CBSADivisionTitle,MD_CensusBlock,MD_CensusTract,MD_Phone,MD_PhoneCity,MD_PhoneState,MD_PhoneCountry,MD_PhoneTimeZone,MD_PhoneTZCode,MD_AreaCode,MD_PhonePrefix,MD_PhoneSuffix,MD_PhoneExtension,MD_PhoneCounty,MD_PhoneCountyFips,MD_EmailBox,MD_EmailTopLevel,MD_EmailTopLevelDesc,MD_EmailDomain,MD_EmailAddress,MD_Results
3303 Rebecca St,Sioux City   ,natoshia.wyche@hotmail.com                 , Miles Williams     ,4028959022  ,IA,51104          ,                    ,Miles                              ,                    ,Williams                           ,                    ,M,                    ,                                   ,                    ,                                   ,                    , ,Dear Mr. Williams:                                ,3303 Rebecca St                                   ,                                                  ,                    ,               ,Sioux City                         ,IA             ,51104     ,2324,035,               ,US        , ,    , ,                    ,S,Street                        , ,C049,Sioux City   ,04,3303      ,     ,Rebecca                                 ,St        ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,51104232403,Woodbury                 ,19193,1973335,Sioux City                                                  ,Central Time        ,06,42.526890   ,-96.427120  ,43580,Metropolitan Statistical Area      ,"Sioux City, IA-NE-SD                                   ",     ,                                   ,                                                       ,2018,000500,(402) 895-9022                ,Omaha                       ,NE,US,Central Time        ,06,402,895,9022,              ,                         ,     ,natoshia.wyche           ,com       ,Commercial                                        ,hotmail                                           ,natoshia.wyche@hotmail.com                                                 ,"AS01,ES01,GS05,NS01,NS05,NS06,PS02,PS08                                                             "
410 Thornwild D,Scottville   ,natoshia0210@cableone.net                  , Mim Smyth          ,4028959022  ,MI,49454          ,                    ,Mim                                ,                    ,Smyth                              ,                    ,N,                    ,                                   ,                    ,                                   ,                    , ,Dear Mim:                                         ,410 Thornwild Dr                                  ,                                                  ,Apt A2              ,               ,Scottville                         ,MI             ,49454     ,1308,129,               ,US        , ,    , ,                    ,H,Highrise                      , ,C001,Scottville   ,02,410       ,     ,Thornwild                               ,Dr        ,     ,Apt       ,A2        ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,49454130812,Mason                    ,26105,2672080,Scottville                                                  ,Eastern Time        ,05,43.960991   ,-86.278071  ,31220,Micropolitan Statistical Area      ,"Ludington, MI                                          ",     ,                                   ,                                                       ,4012,950600,(402) 895-9022                ,Omaha                       ,NE,US,Central Time        ,06,402,895,9022,              ,                         ,     ,natoshia0210             ,net       ,Network                                           ,cableone                                          ,natoshia0210@cableone.net                                                  ,"AS01,ES01,GS06,NS01,NS05,NS06,PS02,PS08                                                             "
23148 Cromwell ,Dearborn     ,natoshia2qute4u@erols.com                  , Michael Smyth      ,3082345536  ,MI,48128          ,                    ,Michael                            ,                    ,Smyth                              ,                    ,M,                    ,                                   ,                    ,                                   ,                    , ,Dear Mr. Smyth:                                   ,23148 Cromwell St                                 ,                                                  ,                    ,               ,Dearborn                           ,MI             ,48128     ,1855,486,               ,US        , ,    , ,                    ,S,Street                        , ,C066,Dearborn     ,12,23148     ,     ,Cromwell                                ,St        ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,48128185548,Wayne                    ,26163,2621000,Dearborn                                                    ,Eastern Time        ,05,42.313600   ,-83.261200  ,19820,Metropolitan Statistical Area      ,"Detroit-Warren-Dearborn, MI                            ",19804,Metropolitan Statistical Area      ,"Detroit-Dearborn-Livonia, MI                           ",3009,574600,(308) 234-5536                ,Kearney                     ,NE,US,Central Time        ,06,308,234,5536,              ,                         ,     ,natoshia2qute4u          ,com       ,Commercial                                        ,erols                                             ,natoshia2qute4u@erols.com                                                  ,"AS01,ES01,GS05,NS01,NS05,NS06,PS01,PS08,PS11                                                        "
3101 BLACKBERRY,BURTON       ,natron4554@prodigy.net                     , michael smyth      ,3082345536  ,MI,48519          ,                    ,Michael                            ,                    ,Smyth                              ,                    ,M,                    ,                                   ,                    ,                                   ,                    , ,Dear Mr. Smyth:                                   ,3101 Blackberry Crk                               ,                                                  ,                    ,               ,Burton                             ,MI             ,48519     ,1935,014,               ,US        , ,    , ,                    ,S,Street                        , ,C096,Burton       ,05,3101      ,     ,Blackberry                              ,Crk       ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,48519193501,Genesee                  ,26049,2612060,Burton                                                      ,Eastern Time        ,05,42.972697   ,-83.631048  ,22420,Metropolitan Statistical Area      ,"Flint, MI                                              ",     ,                                   ,                                                       ,2001,011401,(308) 234-5536                ,Kearney                     ,NE,US,Central Time        ,06,308,234,5536,              ,                         ,     ,natron4554               ,net       ,Network                                           ,prodigy                                           ,natron4554@prodigy.net                                                     ,"AS01,ES01,GS01,NS01,NS05,NS06,PS01,PS08,PS11                                                        "
410 Frederick D,Detroit      ,natron5050@aol.com                         , Marcus Small       ,3087628210  ,MI,48202          ,                    ,Marcus                             ,                    ,Small                              ,                    ,M,                    ,                                   ,                    ,                                   ,                    , ,Dear Mr. Small:                                   ,410 Frederick Douglass Ave                        ,                                                  ,                    ,               ,Detroit                            ,MI             ,48202     ,4117,100,               ,US        , ,    , ,                    ,S,Street                        , ,C027,Detroit      ,13,410       ,     ,Frederick Douglass                      ,Ave       ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,48202411710,Wayne                    ,26163,2622000,Detroit                                                     ,Eastern Time        ,05,42.360903   ,-83.061171  ,19820,Metropolitan Statistical Area      ,"Detroit-Warren-Dearborn, MI                            ",19804,Metropolitan Statistical Area      ,"Detroit-Dearborn-Livonia, MI                           ",2025,518000,(308) 762-8210                ,Alliance                    ,NE,US,Mountain Time       ,07,308,762,8210,              ,                         ,     ,natron5050               ,com       ,Commercial                                        ,aol                                               ,natron5050@aol.com                                                         ,"AS01,ES01,GS06,NS01,NS05,NS06,PS01,PS08,PS10                                                        "
6630 Independen,Canoga Park  ,natron71@yahoo.com                         , twanda macmullen   ,3087628210  ,CA,91303          ,                    ,Twanda                             ,                    ,MacMullen                          ,                    ,F,                    ,                                   ,                    ,                                   ,                    , ,Dear Ms. MacMullen:                               ,6630 Independence Ave                             ,                                                  ,Apt 303             ,               ,Canoga Park                        ,CA             ,91303     ,2904,784,               ,US        , ,    , ,                    ,H,Highrise                      , ,C011,Canoga Park  ,30,6630      ,     ,Independence                            ,Ave       ,     ,Apt       ,303       ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,91303290478,Los Angeles              ,06037,0644000,Los Angeles                                                 ,Pacific Time        ,08,34.190873   ,-118.590010 ,31080,Metropolitan Statistical Area      ,"Los Angeles-Long Beach-Anaheim, CA                     ",31084,Metropolitan Statistical Area      ,"Los Angeles-Long Beach-Glendale, CA                    ",1009,134903,(308) 762-8210                ,Alliance                    ,NE,US,Mountain Time       ,07,308,762,8210,              ,                         ,     ,natron71                 ,com       ,Commercial                                        ,yahoo                                             ,natron71@yahoo.com                                                         ,"AS01,ES01,GS05,NS01,NS05,NS06,PS01,PS08,PS10                                                        "
2298 Arthur St ,Marne        ,natron980@yahoo.com                        , Justin Gennari     ,5048878227  ,MI,49435          ,                    ,Justin                             ,                    ,Gennari                            ,                    ,M,                    ,                                   ,                    ,                                   ,                    , ,Dear Mr. Gennari:                                 ,2298 Arthur St                                    ,                                                  ,                    ,               ,Marne                              ,MI             ,49435     ,9740,988,               ,US        , ,    , ,                    ,S,Street                        , ,R013,Marne        ,02,2298      ,     ,Arthur                                  ,St        ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,49435974098,Ottawa                   ,26139,       ,                                                            ,Eastern Time        ,05,43.059990   ,-85.844500  ,24340,Metropolitan Statistical Area      ,"Grand Rapids-Wyoming, MI                               ",     ,                                   ,                                                       ,4009,020100,(504) 887-8227                ,New Orleans                 ,LA,US,Central Time        ,06,504,887,8227,              ,                         ,     ,natron980                ,com       ,Commercial                                        ,yahoo                                             ,natron980@yahoo.com                                                        ,"AS01,ES01,GS05,NS01,NS05,NS06,PS02,PS08                                                             "
4554 Grove St A,Luna Pier    ,ncharmelo@yahoo.com                        , Michael Nash       ,5048878227  ,MI,48157          ,                    ,Michael                            ,                    ,Nash                               ,                    ,M,                    ,                                   ,                    ,                                   ,                    , ,Dear Mr. Nash:                                    ,4554 Grove St                                     ,                                                  ,Apt B               ,               ,Luna Pier                          ,MI             ,48157     ,9815,741,               ,US        , ,    , ,                    ,H,Highrise                      , ,R018,Luna Pier    ,07,4554      ,     ,Grove                                   ,St        ,     ,Apt       ,B         ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,48157981574,Monroe                   ,26115,2649700,Luna Pier                                                   ,Eastern Time        ,05,41.820200   ,-83.434120  ,33780,Metropolitan Statistical Area      ,"Monroe, MI                                             ",     ,                                   ,                                                       ,4017,833700,(504) 887-8227                ,New Orleans                 ,LA,US,Central Time        ,06,504,887,8227,              ,                         ,     ,ncharmelo                ,com       ,Commercial                                        ,yahoo                                             ,ncharmelo@yahoo.com                                                        ,"AS01,ES01,GS05,NS01,NS05,NS06,PS02,PS08                                                             "
304 S Grandbroo,Grand Rapids ,ncharnee@yahoo.com                         , Robin Lard         ,504 391-0851,MI,49548          ,                    ,Robin                              ,                    ,Lard                               ,                    ,N,                    ,                                   ,                    ,                                   ,                    , ,Dear Robin:                                       ,304 S Grandbrook Cir SE                           ,                                                  ,                    ,               ,Grand Rapids                       ,MI             ,49548     ,6975,049,               ,US        , ,    , ,                    ,S,Street                        , ,C036,Grand Rapids ,03,304       ,S    ,Grandbrook                              ,Cir       ,SE   ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,49548697504,Kent                     ,26081,2619500,Cutlerville                                                 ,Eastern Time        ,05,42.848234   ,-85.656370  ,24340,Metropolitan Statistical Area      ,"Grand Rapids-Wyoming, MI                               ",     ,                                   ,                                                       ,2002,014703,(504) 391-0851                ,New Orleans                 ,LA,US,Central Time        ,06,504,391,0851,              ,                         ,     ,ncharnee                 ,com       ,Commercial                                        ,yahoo                                             ,ncharnee@yahoo.com                                                         ,"AS01,ES01,GS06,NS01,NS05,NS06,PS02,PS08                                                             "
4226 5th Ave S ,Birmingham   ,ncharon@aol.com                            , Min Sung           ,5043910851  ,AL,35222          ,                    ,Min                                ,                    ,Sung                               ,                    ,N,                    ,                                   ,                    ,                                   ,                    , ,Dear Min:                                         ,4226 5th Ave S                                    ,                                                  ,Apt 5               ,               ,Birmingham                         ,AL             ,35222     ,2630,050,               ,US        , ,    , ,                    ,H,Highrise                      , ,C016,Birmingham   ,07,4226      ,     ,5th                                     ,Ave       ,S    ,Apt       ,5         ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,35222263005,Jefferson                ,01073,0107000,Birmingham                                                  ,Central Time        ,06,33.523290   ,-86.770340  ,13820,Metropolitan Statistical Area      ,"Birmingham-Hoover, AL                                  ",     ,                                   ,                                                       ,4012,002400,(504) 391-0851                ,New Orleans                 ,LA,US,Central Time        ,06,504,391,0851,              ,                         ,     ,ncharon                  ,com       ,Commercial                                        ,aol                                               ,ncharon@aol.com                                                            ,"AS01,ES01,GS05,NS01,NS05,NS06,PS02,PS08                                                             "
1237 3rd St Apt,Muskegon     ,ncharpentier@earthlink.com                 , mileserik miller   ,5047836872  ,MI,49441          ,                    ,Mileserik                          ,                    ,Miller                             ,                    ,U,                    ,                                   ,                    ,                                   ,                    , ,Dear Mileserik:                                   ,1237 3rd St                                       ,                                                  ,Apt 1               ,               ,Muskegon                           ,MI             ,49441     ,2068,011,               ,US        , ,    , ,                    ,H,Highrise                      , ,C018,Muskegon     ,02,1237      ,     ,3rd                                     ,St        ,     ,Apt       ,1         ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,49441206801,Muskegon                 ,26121,2656320,Muskegon                                                    ,Eastern Time        ,05,43.229710   ,-86.247460  ,34740,Metropolitan Statistical Area      ,"Muskegon, MI                                           ",     ,                                   ,                                                       ,3025,004200,(504) 783-6872                ,                            ,LA,US,                    ,  ,504,783,6872,              ,                         ,     ,ncharpentier             ,com       ,Commercial                                        ,earthlink                                         ,ncharpentier@earthlink.com                                                 ,"AS01,ES01,GS05,NS01,NS06,PE05                                                                       "
7740 Se 79Th Ln,Trenton      ,ncharpentier@yahoo.com                     , michael snead      ,5047836872  ,FL,32693          ,                    ,Michael                            ,                    ,Snead                              ,                    ,M,                    ,                                   ,                    ,                                   ,                    , ,Dear Mr. Snead:                                   ,7740 SE 79th Ln                                   ,                                                  ,                    ,               ,Trenton                            ,FL             ,32693     ,2108,402,               ,US        , ,    , ,                    ,S,Street                        , ,R004,Trenton      ,03,7740      ,SE   ,79th                                    ,Ln        ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,32693210840,Gilchrist                ,12041,       ,                                                            ,Eastern Time        ,05,29.623149   ,-82.678046  ,23540,Metropolitan Statistical Area      ,"Gainesville, FL                                        ",     ,                                   ,                                                       ,2021,950203,(504) 783-6872                ,                            ,LA,US,                    ,  ,504,783,6872,              ,                         ,     ,ncharpentier             ,com       ,Commercial                                        ,yahoo                                             ,ncharpentier@yahoo.com                                                     ,"AS01,ES01,GS05,NS01,NS05,NS06,PE05                                                                  "
3233 Riverside ,Beloit       ,ncharr@aol.com                             , Michael Snell      ,5048585843  ,WI,53511          ,                    ,Michael                            ,                    ,Snell                              ,                    ,M,                    ,                                   ,                    ,                                   ,                    , ,Dear Mr. Snell:                                   ,3233 S Riverside Dr                               ,                                                  ,                    ,               ,Beloit                             ,WI             ,53511     ,1530,330,               ,US        , ,    , ,                    ,S,Street                        , ,C011,Beloit       ,02,3233      ,S    ,Riverside                               ,Dr        ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,53511153033,Rock                     ,55105,       ,                                                            ,Central Time        ,06,42.561075   ,-89.036338  ,27500,Metropolitan Statistical Area      ,"Janesville-Beloit, WI                                  ",     ,                                   ,                                                       ,2009,002400,(504) 858-5843                ,New Orleans                 ,LA,US,Central Time        ,06,504,858,5843,              ,                         ,     ,ncharr                   ,com       ,Commercial                                        ,aol                                               ,ncharr@aol.com                                                             ,"AC12,AS01,ES01,GS05,NS01,NS05,NS06,PS02,PS07                                                        "
9700 W. Thursto,Milwaukee    ,ncharris@hotmail.com                       , Mike Snell         ,5048585843  ,WI,53225          ,                    ,Mike                               ,                    ,Snell                              ,                    ,M,                    ,                                   ,                    ,                                   ,                    , ,Dear Mr. Snell:                                   ,9700 W Thurston Ave                               ,                                                  ,                    ,               ,Milwaukee                          ,WI             ,53225     ,2527,007,               ,US        , ,    , ,                    ,S,Street                        , ,C089,Milwaukee    ,04,9700      ,W    ,Thurston                                ,Ave       ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,53225252700,Milwaukee                ,55079,5553000,Milwaukee                                                   ,Central Time        ,06,43.121430   ,-88.033610  ,33340,Metropolitan Statistical Area      ,"Milwaukee-Waukesha-West Allis, WI                      ",     ,                                   ,                                                       ,2009,000502,(504) 858-5843                ,New Orleans                 ,LA,US,Central Time        ,06,504,858,5843,              ,                         ,     ,ncharris                 ,com       ,Commercial                                        ,hotmail                                           ,ncharris@hotmail.com                                                       ,"AS01,ES01,GS05,NS01,NS05,NS06,PS02,PS07                                                             "
28101 1St St   ,Kansasville  ,ncharron@msn.com                           , travis huebner     ,5044820947  ,WI,53139          ,                    ,Travis                             ,                    ,Huebner                            ,                    ,M,                    ,                                   ,                    ,                                   ,                    , ,Dear Mr. Huebner:                                 ,28101 1st St                                      ,                                                  ,                    ,               ,Kansasville                        ,WI             ,53139     ,9635,015,               ,US        , ,    , ,                    ,S,Street                        , ,R091,Kansasville  ,01,28101     ,     ,1st                                     ,St        ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,53139963501,Racine                   ,55101,       ,                                                            ,Central Time        ,06,42.669110   ,-88.150930  ,39540,Metropolitan Statistical Area      ,"Racine, WI                                             ",     ,                                   ,                                                       ,    ,      ,(504) 482-0947                ,New Orleans                 ,LA,US,Central Time        ,06,504,482,0947,              ,                         ,     ,ncharron                 ,com       ,Commercial                                        ,msn                                               ,ncharron@msn.com                                                           ,"AS01,ES01,GS05,NS01,NS05,NS06,PS02,PS08                                                             "
8250 157Th Ln N,Ramsey       ,ncharron3@comcast.net                      , MARCUSK1180 MARCUSK,5044820947  ,MN,55303          ,                    ,MARCUSK1180                        ,                    ,MARCUSK1180                        ,                    ,U,                    ,                                   ,                    ,                                   ,                    , ,Dear MARCUSK1180:                                 ,8250 157th Ln NW                                  ,                                                  ,                    ,               ,Ramsey                             ,MN             ,55303     ,3848,506,               ,US        , ,    , ,                    ,S,Street                        , ,C019,Ramsey       ,06,8250      ,     ,157th                                   ,Ln        ,NW   ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,55303384850,Anoka                    ,27003,2753026,Ramsey                                                      ,Central Time        ,06,45.256072   ,-93.478358  ,33460,Metropolitan Statistical Area      ,"Minneapolis-St. Paul-Bloomington, MN-WI                ",     ,                                   ,                                                       ,1029,050223,(504) 482-0947                ,New Orleans                 ,LA,US,Central Time        ,06,504,482,0947,              ,                         ,     ,ncharron3                ,net       ,Network                                           ,comcast                                           ,ncharron3@comcast.net                                                      ,"AS01,ES01,GS05,NE06,NS02,PS02,PS08                                                                  "
838 Badger Ln  ,Lake Geneva  ,nchart@luthersem.edu                       , Forrest Formby     ,5047639037  ,WI,53147          ,                    ,Forrest                            ,                    ,Formby                             ,                    ,M,                    ,                                   ,                    ,                                   ,                    , ,Dear Mr. Formby:                                  ,838 Badger Ln                                     ,                                                  ,                    ,               ,Lake Geneva                        ,WI             ,53147     ,1006,382,               ,US        , ,    , ,                    ,S,Street                        , ,C004,Lake Geneva  ,01,838       ,     ,Badger                                  ,Ln        ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,53147100638,Walworth                 ,55127,5541450,Lake Geneva                                                 ,Central Time        ,06,42.600010   ,-88.446860  ,48580,Micropolitan Statistical Area      ,"Whitewater-Elkhorn, WI                                 ",     ,                                   ,                                                       ,4009,001502,(504) 763-9037                ,                            ,LA,US,                    ,  ,504,763,9037,              ,                         ,     ,nchart                   ,edu       ,Educational Institution                           ,luthersem                                         ,nchart@luthersem.edu                                                       ,"AS01,ES01,GS05,NS01,NS05,NS06,PE05                                                                  "
152 Galloway Ln,Benton       ,nchartier@sutv.com                         , Miles Fujimoto     ,5047639037  ,KY,42025          ,                    ,Miles                              ,                    ,Fujimoto                           ,                    ,M,                    ,                                   ,                    ,                                   ,                    , ,Dear Mr. Fujimoto:                                ,152 Galloway Ln                                   ,                                                  ,                    ,               ,Benton                             ,KY             ,42025     ,7054,524,               ,US        , ,    , ,                    ,S,Street                        , ,R013,Benton       ,01,152       ,     ,Galloway                                ,Ln        ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,42025705452,Marshall                 ,21157,       ,                                                            ,Central Time        ,06,36.926990   ,-88.349820  ,     ,                                   ,                                                       ,     ,                                   ,                                                       ,3022,950200,(504) 763-9037                ,                            ,LA,US,                    ,  ,504,763,9037,              ,                         ,     ,nchartier                ,com       ,Commercial                                        ,sutv                                              ,nchartier@sutv.com                                                         ,"AS01,AS16,AS17,ES01,GS05,NS01,NS05,NS06,PE05                                                        "
11921 Tazwell D,Louisville   ,nchartrand@aol.com                         , Mike Pierre        ,3188725126  ,KY,40245          ,                    ,Mike                               ,                    ,Pierre                             ,                    ,M,                    ,                                   ,                    ,                                   ,                    , ,Dear Mr. Pierre:                                  ,11921 Tazwell Dr                                  ,                                                  ,Apt 7               ,               ,Louisville                         ,KY             ,40245     ,2904,073,               ,US        , ,    , ,                    ,H,Highrise                      , ,R073,Louisville   ,04,11921     ,     ,Tazwell                                 ,Dr        ,     ,Apt       ,7         ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,40245290407,Jefferson                ,21111,2148006,Louisville/Jefferson County Metro Government (Balance)      ,Eastern Time        ,05,38.307559   ,-85.531793  ,31140,Metropolitan Statistical Area      ,"Louisville/Jefferson County, KY-IN                     ",     ,                                   ,                                                       ,2012,010311,(318) 872-5126                ,Mansfield                   ,LA,US,Central Time        ,06,318,872,5126,              ,                         ,     ,nchartrand               ,com       ,Commercial                                        ,aol                                               ,nchartrand@aol.com                                                         ,"AS01,ES01,GS06,NS01,NS05,NS06,PS02,PS08                                                             "
23301 Dixie Hwy,West Point   ,nchartrand@gmail.com                       , Diane Pierson      ,3188725126  ,KY,40177          ,                    ,Diane                              ,                    ,Pierson                            ,                    ,F,                    ,                                   ,                    ,                                   ,                    , ,Dear Ms. Pierson:                                 ,23301 Dixie Hwy                                   ,                                                  ,Trlr 35             ,               ,West Point                         ,KY             ,40177     ,9726,359,               ,US        , ,    , ,                    ,H,Highrise                      , ,R012,West Point   ,02,23301     ,     ,Dixie                                   ,Hwy       ,     ,Trlr      ,35        ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,40177972635,Hardin                   ,21093,2181930,West Point                                                  ,Eastern Time        ,05,37.972130   ,-85.965130  ,21060,Metropolitan Statistical Area      ,"Elizabethtown-Fort Knox, KY                            ",     ,                                   ,                                                       ,1091,000100,(318) 872-5126                ,Mansfield                   ,LA,US,Central Time        ,06,318,872,5126,              ,                         ,     ,nchartrand               ,com       ,Commercial                                        ,gmail                                             ,nchartrand@gmail.com                                                       ,"AS01,ES01,GS05,NS01,NS05,NS06,PS02,PS08                                                             "
530 Fourth Stre,Findlay      ,nchartrand@hotmail.com                     , Mitchell Bass      ,3183772334  ,OH,45840          ,                    ,Mitchell                           ,                    ,Bass                               ,                    ,M,                    ,                                   ,                    ,                                   ,                    , ,Dear Mr. Bass:                                    ,530 4th St                                        ,                                                  ,                    ,               ,Findlay                            ,OH             ,45840     ,5110,309,               ,US        , ,    , ,                    ,S,Street                        , ,C012,Findlay      ,05,530       ,     ,4th                                     ,St        ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,45840511030,Hancock                  ,39063,3927048,Findlay                                                     ,Eastern Time        ,05,41.025140   ,-83.642420  ,22300,Micropolitan Statistical Area      ,"Findlay, OH                                            ",     ,                                   ,                                                       ,5007,000800,(318) 377-2334                ,Minden                      ,LA,US,Central Time        ,06,318,377,2334,              ,                         ,     ,nchartrand               ,com       ,Commercial                                        ,hotmail                                           ,nchartrand@hotmail.com                                                     ,"AC10,AS01,ES01,GS05,NS01,NS05,NS06,PS02,PS08                                                        "
3611 Regatta Wa,Louisville   ,nchartrand70@snet.net                      , min suzu           ,3183772334  ,KY,40211          ,                    ,Min                                ,                    ,Suzu                               ,                    ,N,                    ,                                   ,                    ,                                   ,                    , ,Dear Min:                                         ,3611 Regatta Way                                  ,                                                  ,                    ,               ,Louisville                         ,KY             ,40211     ,1655,113,               ,US        , ,    , ,                    ,S,Street                        , ,C095,Louisville   ,03,3611      ,     ,Regatta                                 ,Way       ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,40211165511,Jefferson                ,21111,2148000,Louisville                                                  ,Eastern Time        ,05,38.237510   ,-85.815270  ,31140,Metropolitan Statistical Area      ,"Louisville/Jefferson County, KY-IN                     ",     ,                                   ,                                                       ,2019,001200,(318) 377-2334                ,Minden                      ,LA,US,Central Time        ,06,318,377,2334,              ,                         ,     ,nchartrand70             ,net       ,Network                                           ,snet                                              ,nchartrand70@snet.net                                                      ,"AS01,ES01,GS05,NS01,NS05,PS02,PS08                                                                  "
1926 Weiss St  ,Saginaw      ,nchasdwill@hotmail.com                     , dylan marcus       ,318 346-7391,MI,48602          ,                    ,Dylan                              ,                    ,Marcus                             ,                    ,M,                    ,                                   ,                    ,                                   ,                    , ,Dear Mr. Marcus:                                  ,1926 Weiss St                                     ,                                                  ,                    ,               ,Saginaw                            ,MI             ,48602     ,5047,266,               ,US        , ,    , ,                    ,S,Street                        , ,C035,Saginaw      ,05,1926      ,     ,Weiss                                   ,St        ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,48602504726,Saginaw                  ,26145,       ,                                                            ,Eastern Time        ,05,43.443980   ,-83.966630  ,40980,Metropolitan Statistical Area      ,"Saginaw, MI                                            ",     ,                                   ,                                                       ,1024,010401,(318) 346-7391                ,Bunkie                      ,LA,US,Central Time        ,06,318,346,7391,              ,                         ,     ,nchasdwill               ,com       ,Commercial                                        ,hotmail                                           ,nchasdwill@hotmail.com                                                     ,"AS01,ES01,GS05,NS01,NS05,NS06,PS01,PS08,PS11                                                        "
8747 W Herbert ,Milwaukee    ,nchase@hotmail.com                         , marcus taylor      ,3183467391  ,WI,53225          ,                    ,Marcus                             ,                    ,Taylor                             ,                    ,M,                    ,                                   ,                    ,                                   ,                    , ,Dear Mr. Taylor:                                  ,8747 W Herbert Ave                                ,                                                  ,                    ,               ,Milwaukee                          ,WI             ,53225     ,4948,477,               ,US        , ,    , ,                    ,S,Street                        , ,C068,Milwaukee    ,04,8747      ,W    ,Herbert                                 ,Ave       ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,53225494847,Milwaukee                ,55079,5553000,Milwaukee                                                   ,Central Time        ,06,43.103630   ,-88.020780  ,33340,Metropolitan Statistical Area      ,"Milwaukee-Waukesha-West Allis, WI                      ",     ,                                   ,                                                       ,4001,003300,(318) 346-7391                ,Bunkie                      ,LA,US,Central Time        ,06,318,346,7391,              ,                         ,     ,nchase                   ,com       ,Commercial                                        ,hotmail                                           ,nchase@hotmail.com                                                         ,"AS01,ES01,GS05,NS01,NS05,NS06,PS01,PS08,PS11                                                        "
